id,x,y,r
0,14.520039,10.488084,0.250
1,8.103703,14.726835,0.250
2,3.109055,1.170216,0.250
3,0.087934,8.139059,0.250
4,4.967935,0.759377,0.250
5,12.070412,13.753718,0.250
6,2.562085,11.639472,0.250
7,14.304173,0.235876,0.250
8,1.271951,10.202849,0.250
9,19.656269,4.903440,0.250
10,8.290295,11.842227,0.250
11,0.845202,15.241386,0.250
12,1.796131,3.243969,0.250
13,5.775148,18.362178,0.250
14,16.714530,16.011643,0.250
15,18.067191,0.497940,0.250
16,5.109768,18.168323,0.250
17,4.438574,16.441994,0.250
18,11.622602,18.230621,0.250
19,5.756736,12.314380,0.250
20,17.350701,10.316983,0.250
21,4.395705,14.108051,0.250
22,9.184573,18.147303,0.250
23,16.948201,9.179404,0.250
24,5.849604,0.810430,0.250
25,18.397561,8.178914,0.250
26,16.768078,3.820707,0.250
27,1.529394,0.874592,0.250
28,5.343384,15.254170,0.250
29,13.663668,10.903082,0.250
30,14.381828,18.649606,0.250
31,11.713685,11.690214,0.250
32,8.105816,1.879166,0.250
33,16.129201,8.614854,0.250
34,12.575407,4.337789,0.250
35,4.456719,0.946950,0.250
36,14.323536,3.570206,0.250
37,6.050780,11.172678,0.250
38,5.623497,16.848823,0.250
39,0.895824,9.026638,0.250
40,4.045526,3.235338,0.250
41,7.549029,2.883085,0.250
42,3.822650,17.303440,0.250
43,17.034204,6.969498,0.250
44,19.666031,10.613352,0.250
45,13.728733,4.772679,0.250
46,11.846258,14.465439,0.250
47,0.163173,2.919902,0.250
48,19.163961,7.150355,0.250
49,0.471331,11.125120,0.250
50,9.105884,14.028298,0.250
51,8.816126,17.444813,0.250
52,5.607663,4.208018,0.250
53,19.856706,1.324636,0.250
54,6.408264,18.969777,0.250
55,13.274692,6.282609,0.250
56,15.971820,18.217533,0.250
57,6.646086,7.285862,0.250
58,18.257613,16.241083,0.250
59,15.304310,9.511370,0.250
60,7.826726,4.673053,0.250
61,6.460627,3.007888,0.250
62,17.655090,18.027081,0.250
63,12.211444,10.920840,0.250
64,12.198483,15.660574,0.250
65,14.050317,17.711414,0.250
66,10.115701,8.195704,0.250
67,12.002546,5.273445,0.250
68,5.643855,8.249193,0.250
69,2.217880,19.878001,0.250
70,6.959489,13.666490,0.250
71,3.203107,19.365045,0.250
72,9.825130,4.935674,0.250
73,8.191817,7.485375,0.250
74,14.083358,12.581224,0.250
75,8.776435,7.841742,0.250
76,8.264445,0.248953,0.250
77,10.027337,0.079037,0.250
78,10.195130,10.850969,0.250
79,2.632595,14.858171,0.250
80,5.776768,15.582910,0.250
81,6.560964,9.222351,0.250
82,9.039536,10.005561,0.250
83,9.025938,0.429468,0.250
84,2.372543,14.270232,0.250
85,7.246460,5.830230,0.250
86,6.230574,3.663630,0.250
87,13.235942,14.083607,0.250
88,11.599446,16.745808,0.250
89,9.153756,1.018554,0.250
90,4.258039,7.837917,0.250
91,16.241388,0.837006,0.250
92,3.750672,18.569645,0.250
93,9.483739,11.055742,0.250
94,17.145688,10.806822,0.250
95,5.299968,9.533034,0.250
96,11.626005,12.770689,0.250
97,4.558688,12.166634,0.250
98,3.747884,11.354014,0.250
99,2.679325,2.402490,0.250
100,4.234053,13.304744,0.250
101,2.896928,15.306480,0.250
102,15.593988,3.041910,0.250
103,10.999654,3.659870,0.250
104,0.751618,6.805727,0.250
105,3.232413,11.677356,0.250
106,11.597840,8.856659,0.250
107,10.541991,12.001047,0.250
108,11.687182,1.843809,0.250
109,5.569475,19.443834,0.250
110,11.709240,1.041626,0.250
111,14.298135,9.703620,0.250
112,9.892452,9.636940,0.250
113,5.352328,13.927573,0.250
114,3.935508,4.525190,0.250
115,5.042818,16.455121,0.250
116,9.545148,1.813528,0.250
117,9.658453,3.883786,0.250
118,9.641772,6.616571,0.250
119,2.393455,13.134322,0.250
120,1.150231,3.569939,0.250
121,19.100962,12.388232,0.250
122,14.590447,13.894397,0.250
123,12.336761,12.321604,0.250
124,19.273120,12.934636,0.250
125,12.629910,7.638973,0.250
126,19.747774,3.239024,0.250
127,16.724737,7.803243,0.250
128,15.224193,12.504869,0.250
129,19.803855,9.741315,0.250
130,19.393419,14.913891,0.250
131,0.585972,7.453936,0.250
132,0.845690,0.630230,0.250
133,12.791934,16.743517,0.250
134,3.250640,0.093726,0.250
135,1.592882,5.971078,0.250
136,0.404064,0.004799,0.250
137,13.854685,19.524470,0.250
138,19.419417,0.517437,0.250
139,14.911059,4.793089,0.250
140,12.898758,8.886207,0.250
141,8.683340,15.354438,0.250
142,8.938972,5.622652,0.250
143,13.913063,1.682330,0.250
144,0.274550,8.850330,0.250
145,9.575933,7.624398,0.250
146,3.312998,7.002214,0.250
