N,M,rep,CIM_ms,BRUTE_ms,CIM_comps,BRUTE_comps,speedup,mismatches
10,4,0,0.072,0.058,21,45,0.8055555555555557,0
10,4,1,0.072,0.063,23,45,0.8750000000000001,0
10,4,2,0.089,0.069,24,45,0.7752808988764046,0
10,4,3,0.076,0.065,27,45,0.855263157894737,0
10,4,4,0.078,0.07,26,45,0.8974358974358975,0
10,4,5,0.085,0.066,24,45,0.7764705882352941,0
10,4,6,0.079,0.066,29,45,0.8354430379746836,0
10,4,7,0.081,0.068,25,45,0.8395061728395062,0
10,4,8,0.08,0.067,23,45,0.8375,0
10,4,9,0.098,0.058,25,45,0.5918367346938775,0
10,7,0,0.069,0.058,8,45,0.8405797101449275,0
10,7,1,0.07,0.073,9,45,1.0428571428571427,0
10,7,2,0.094,0.067,8,45,0.7127659574468086,0
10,7,3,0.084,0.065,10,45,0.7738095238095238,0
10,7,4,0.069,0.057,10,45,0.8260869565217391,0
10,7,5,0.067,0.058,5,45,0.8656716417910447,0
10,7,6,0.091,0.086,10,45,0.945054945054945,0
10,7,7,0.08,0.069,11,45,0.8625,0
10,7,8,0.078,0.067,10,45,0.858974358974359,0
10,7,9,0.074,0.083,11,45,1.1216216216216217,0
10,13,0,0.09,0.066,2,45,0.7333333333333334,0
10,13,1,0.092,0.065,4,45,0.7065217391304348,0
10,13,2,0.095,0.067,3,45,0.7052631578947369,0
10,13,3,0.093,0.072,3,45,0.7741935483870968,0
10,13,4,0.086,0.06,3,45,0.6976744186046512,0
10,13,5,0.085,0.07,1,45,0.823529411764706,0
10,13,6,0.103,0.073,3,45,0.7087378640776699,0
10,13,7,0.094,0.07,2,45,0.7446808510638299,0
10,13,8,0.095,0.075,2,45,0.7894736842105263,0
10,13,9,0.081,0.062,0,45,0.7654320987654321,0
200,4,0,1.908,2.538,11150,19900,1.330188679245283,0
200,4,1,1.876,2.512,11182,19900,1.3390191897654584,0
200,4,2,1.899,2.439,11183,19900,1.2843601895734598,0
200,4,3,1.896,2.393,11216,19900,1.2621308016877637,0
200,4,4,1.815,2.461,11074,19900,1.355922865013774,0
200,4,5,1.889,2.867,11150,19900,1.517734250926416,0
200,4,6,2.48,2.454,11164,19900,0.9895161290322582,0
200,4,7,1.84,2.484,11121,19900,1.3499999999999999,0
200,4,8,1.834,2.638,11014,19900,1.4383860414394765,0
200,4,9,2.547,2.756,11188,19900,1.0820573223400076,0
200,7,0,2.321,2.588,3599,19900,1.115036622145627,0
200,7,1,1.321,2.623,3658,19900,1.9856169568508708,0
200,7,2,1.49,2.439,3596,19900,1.6369127516778523,0
200,7,3,1.397,2.671,3681,19900,1.9119541875447386,0
200,7,4,1.517,2.431,3636,19900,1.6025049439683587,0
200,7,5,1.281,2.499,3632,19900,1.9508196721311477,0
200,7,6,1.432,2.488,3699,19900,1.7374301675977655,0
200,7,7,1.369,2.591,3591,19900,1.8926223520818117,0
200,7,8,1.425,2.543,3609,19900,1.784561403508772,0
200,7,9,1.355,2.448,3646,19900,1.8066420664206642,0
200,13,0,1.282,2.575,997,19900,2.008580343213729,0
200,13,1,1.224,2.444,1000,19900,1.9967320261437909,0
200,13,2,1.242,2.474,1021,19900,1.99194847020934,0
200,13,3,1.319,2.59,1034,19900,1.9636087945413192,0
