N,M,rep,CIM_ms,BRUTE_ms,CIM_comps,BRUTE_comps,speedup,mismatches
10,4,4.5,0.0997,0.0733,24.7,45.0,0.7994241946279839,0.0
10,7,4.5,0.0806,0.06989999999999999,9.2,45.0,0.866804161931974,0.0
10,13,4.5,0.2504,0.0795,2.3,45.0,0.6444007076036911,0.0
200,4,4.5,1.941,2.5538,11144.2,19900.0,1.3234754332039191,0.0
200,7,4.5,1.4117,2.5103999999999997,3634.7,19900.0,1.7801987670467336,0.0
200,13,4.5,1.2786,2.5045,1025.8,19900.0,1.965675423755637,0.0
500,4,4.5,9.326699999999999,13.9204,70059.0,124750.0,1.4925808747460114,0.0
500,7,4.5,6.9821,13.3381,22759.7,124750.0,2.21659665634985,0.0
500,13,4.5,5.5576,12.3506,6477.7,124750.0,2.5404177551187725,0.0
1000,4,4.5,12.710199999999999,14.1364,280755.7,499500.0,1.1125730409017154,0.0
1000,7,4.5,10.4408,14.1174,91349.2,499500.0,1.3522380680845578,0.0
1000,13,4.5,6.8717,14.3946,26147.9,499500.0,2.1148143720029076,0.0
2000,4,4.5,37.6642,32.5657,1124299.6,1999000.0,1.0379373715332263,0.0
2000,7,4.5,19.942600000000002,35.341300000000004,366844.6,1999000.0,1.8095288747463283,0.0
2000,13,4.5,18.5868,34.1869,105923.1,1999000.0,1.9790373554392768,0.0
