Brute Force(ns),CIM (ns),N 
 4976582, 814181, 100
 792070, 774885, 100
 185998, 408450, 100
 229610, 1192722, 100
 205939, 603903, 100
 201905, 577513, 100
 193586, 464442, 100
 123007, 397169, 100
 258958, 805617, 100
 185248, 327046, 100
 3663586, 4775715, 500
 3534796, 2563555, 500
 6270455, 4459042, 500
 4443356, 2858578, 500
 5029277, 6121169, 500
 7850389, 1494610, 500
 6765593, 2631051, 500
 5784345, 2438006, 500
 7189087, 2018578, 500
 6077878, 5018945, 500
 73368879, 6337489, 2500
 140936483, 12013691,2500
 71077601, 9034939, 2500
 55105404, 4746220, 2500
 54119620, 4547529, 2500
 61819910, 6502448, 2500
 67307365, 5161063, 2500
 54572794, 5116361, 2500
 80308471, 26494249, 2500
 57719258, 9792638, 2500
 225891976, 44310153, 5000
 217312369, 19829182, 5000
 237447814, 26432397, 5000
 234812462, 25858503, 5000
 284839512, 29655429, 5000
 227162559, 22948259, 5000
 296061434, 33837466, 5000
 224369505, 20898532, 5000
 274723195, 31906477, 5000
 358943634, 39976294, 5000
 592749084, 58699864, 7500
 586989505, 59560332, 7500
 609364049, 76867812, 7500
 713227915, 67792422, 7500
 552319020, 99271236, 7500
 590768081, 99979489, 7500
 691900925, 178279195, 7500
 644813604, 95208693, 7500
 540893653, 71454437, 7500
 549631319, 63780019, 7500
 946910023, 184195673, 10000
 1093930046, 166889518, 10000
 956367554, 189632986, 10000
 1043214697, 131329931, 10000
 1065506982, 173576579, 10000
 1073143780, 114241101, 10000
 877495685, 181081730, 10000
 1165056100, 167909784, 10000
 1135123596, 144288782, 10000
 883851189, 137876884, 10000
